id,title,genre,release_year
1,The Shawshank Redemption,Drama,1994
2,The Godfather,Crime,1972
3,The Dark Knight,Action,2008
4,Pulp Fiction,Crime,1994
5,Forrest Gump,Drama,1994
6,Inception,Sci-Fi,2010
7,The Matrix,Sci-Fi,1999
8,The Lord of the Rings: The Return of the King,Fantasy,2003
9,The Silence of the Lambs,Thriller,1991
10,The Avengers,Action,2012
11,Interstellar,Sci-Fi,2014
12,Gladiator,Action,2000
13,Parasite,Thriller,2019
14,Whiplash,Drama,2014
15,The Prestige,Mystery,2006
16,Avengers: Endgame,Action,2019
17,Spider-Man: No Way Home,Action,2021
18,Joker,Drama,2019
19,Dune,Sci-Fi,2021
20,RRR,Action,2022
21,Baahubali: The Beginning,Fantasy,2015
22,Baahubali 2: The Conclusion,Fantasy,2017
23,Pushpa: The Rise,Action,2021
24,Kantara,Drama,2022
25,K.G.F: Chapter 1,Action,2018
26,K.G.F: Chapter 2,Action,2022
27,Salaar,Action,2023
28,Dasara,Drama,2023
29,Hi Nanna,Romance,2023
30,Hanu-Man,Fantasy,2024
31,The Wolf of Wall Street,Drama,2013
32,Mad Max: Fury Road,Action,2015
33,La La Land,Romance,2016
34,The Revenant,Adventure,2015
35,Black Panther,Action,2018
36,Doctor Strange in the Multiverse of Madness,Sci-Fi,2022
37,Top Gun: Maverick,Action,2022
38,Oppenheimer,Drama,2023
39,Barbie,Comedy,2023
40,The Batman,Action,2022
41,Arjun Reddy,Romance,2017
42,Geetha Govindam,Romance,2018
43,Ala Vaikunthapurramuloo,Drama,2020
44,Sye,Action,2004
45,Magadheera,Fantasy,2009
46,Eega,Fantasy,2012
47,Janatha Garage,Action,2016
48,Radhe Shyam,Romance,2022
49,Bheemla Nayak,Action,2022
50,Agent,Action,2023
51,Agent Sai Srinivasa Athreya,Thriller,2019
52,Raakaasa,Sci-Fi,2026
53,Kuberaa,Drama,2025